track_id;artist_name;track_name;release_year;genre;sadness;danceability;topic;acousticness;energy
t2299;the magpie salute;time will tell;2017;blues;0.0008771930420832;0.6404202317773205;violence;0.0684729603142172;65.0
t2300;the black angels;half believing;2017;blues;0.361164375656649;0.1357088703563305;sadness;0.1526095909734849;65.0
t2301;jd mcpherson;on the lips;2017;blues;0.2947446014497319;0.5516083613126829;romantic;0.3493969371455192;94.0
t2302;nina simone;stars (live at montreux);2017;blues;0.0020242915311968;0.4779594931224954;world/life;0.939758975661622;6.0
t2303;black joe lewis & the honeybears;ptp;2017;blues;0.001422475141116;0.6393371601862884;obscene;0.0088945872435614;88.0
t2304;thee oh sees;overthrown;2018;blues;0.0023923445331647;0.1400411567204592;violence;1.1244991209830532e-05;99.0
t2305;buddy guy;you did the crime;2018;blues;0.1056240567108066;0.3956460522040508;world/life;0.5722887271975173;40.0
t2306;the wood brothers;one drop of truth;2018;blues;0.2420806141052881;0.4053936965233402;violence;0.0626496612948406;66.0
t2307;black rebel motorcycle club;echo;2018;blues;0.5348548110120052;0.248348315823676;sadness;0.0070070351476256;72.0
t2308;ty segall;body behavior;2018;blues;0.0013495277414997;0.2429329578685151;violence;0.0005793178507207;83.0
t2309;reignwolf;wanna don't wanna;2018;blues;0.017543859649123;0.1931116646810354;music;0.0010833344210184;95.0
t2310;joanne shaw taylor;break my heart anyway;2018;blues;0.0013495277583028;0.552691432903715;violence;0.5301200101606529;57.0
t2311;dorothy;black tar & nicotine;2018;blues;0.2380384367149211;0.4270551283439835;violence;0.2449791616256642;58.0
t2312;ty segall;alta;2018;blues;0.0018796992765945;0.2364345283223221;world/life;0.0066757095137645;60.0
t2313;welshly arms;locked;2018;blues;0.3070078973458351;0.539694573811329;sadness;0.1556216421904038;60.0
t2314;the wood brothers;sky high;2018;blues;0.0783283570825166;0.5115347124444927;obscene;0.0787139344517414;89.0
t2315;dorothy;philadelphia;2018;blues;0.0010964912853689;0.4909563522148814;night/time;0.1736939494919172;66.0
t2316;the record company;night games;2018;blues;0.2510722669333528;0.4400519874363695;obscene;0.3232924932655555;84.0
t2317;goodbye june;get happy;2018;blues;0.0010121458177002;0.4118921260695332;world/life;0.1857421543595927;88.0
