track_id;artist_name;track_name;release_date;genre;sadness;danceability;topic;loudness;acousticness;instrumentalness;valence;energy
t3041;chon;feel this way;2017;jazz;0.0263157908694312;0.7443951045164087;feelings;0.7219701048637284;0.0609428322719199;0.017914979757085;0.2096042868920032;0.5034879968223231
t3042;alfa mist;breathe;2017;jazz;0.0014619884340075;0.2927542510559948;violence;0.5710329974617336;0.5873489832821118;0.2834008097165992;0.0163849958779884;0.2852629631676183
t3043;rudemanners;we walked together that night;2017;jazz;0.0010741138838889;0.5765190079064226;world/life;0.4602722867471732;0.4518066785207616;0.8795546558704455;0.0282357790601813;0.2432196080598312
t3044;boney james;honestly;2017;jazz;0.4590654673031198;0.6837430954186072;sadness;0.7049970515088582;0.4287142858577168;0.000410931174089;0.2858615004122011;0.380361028292375
t3045;children of zeus;smoke with me;2017;jazz;0.0434944266265321;0.7823026102025344;obscene;0.6140553290772504;0.0948786093158728;7.469635627530364e-05;0.5929513602638087;0.3263052860109344
t3046;anita baker;same ole love (365 days a week);2017;jazz;0.1560354925436338;0.539694573811329;world/life;0.6729738738045791;0.1114448910089267;2.135627530364373e-05;0.7568013190436933;0.7517439984111614
t3047;alfa mist;keep on;2017;jazz;0.0035087719671035;0.5949312249539696;world/life;0.5708535240878906;0.1194770275873771;0.7955465587044533;0.4610469909315746;0.3283073505398766
t3048;pete rock;rhyme writer;2017;jazz;0.0006747638857605;0.7476443192895051;obscene;0.4864241212214444;0.0105411752421438;0.8846153846153847;0.546578730420445;0.3012794793991563
t3049;lester nowhere;balcony;2017;jazz;0.398737361334223;0.7747211090653093;sadness;0.666230802758762;0.7951805172495154;0.8704453441295547;0.6506595218466611;0.2812588341097339
t3050;musicmusicmusic;basenji;2017;jazz;0.0030959755735547;0.3848153362937291;night/time;0.4857062277260722;0.7781122270203084;0.8977732793522267;0.2085737840065952;0.364344512060837
t3051;gregory porter;smile;2017;jazz;0.6043925694426;0.1216289396729123;sadness;0.529754121477835;0.8564255586601995;0.0003370445344129;0.0524525968672712;0.2121876078612264
t3052;leroyce;know the name;2017;jazz;0.0005659309739576;0.7389797465612479;obscene;0.6576417198677025;0.0049889608322899;0.0;0.1982687551525145;0.689679998013952
t3053;pete rock;fakin jax;2017;jazz;0.0006049607068428;0.6642478067800283;obscene;0.7277645309335179;0.0356416020498012;0.0011740890688259;0.7258862324814508;0.7107016755678455
t3054;the modern jazz quartet;fontessa;2017;jazz;0.0008628128303022;0.4530488465287555;music;0.5071917544804245;0.8744978659617129;0.0009807692307692;0.2178483099752679;0.2782557373163205
t3055;lester nowhere;6 a.m.;2017;jazz;0.6791353299058401;0.6620816635979638;sadness;0.6443863292567238;0.1877501885042053;0.8825910931174089;0.7557708161582852;0.2702474792005516
t3056;zero 7;mono;2018;jazz;0.3489533217532217;0.7108198851944114;sadness;0.6927415839807194;0.2720876225779343;0.0646761133603238;0.5661582852431986;0.5405261906077548
t3057;nick hakim;vincent tyler;2018;jazz;0.1547076295677449;0.5115347124444927;violence;0.774658359613363;0.1034127544304763;0.7459514170040485;0.857790601813685;0.8978947090239454
t3058;sons of kemet;my queen is ada eastman;2018;jazz;0.0007017544319711;0.6100942272284199;violence;0.7528395251647308;0.6586341954158589;0.0321862348178137;0.7227947238252266;0.8328276118333225
t3059;august greene;black kennedy;2018;jazz;0.0254482633172884;0.7823026102025344;violence;0.6351049919236982;0.0615452425153037;2.0748987854251012e-06;0.5754328112118714;0.5625489004261194
t3060;gabriel garzón-montano;golden wings (instrumental);2018;jazz;0.1287214783771979;0.7942163977038883;obscene;0.639412352895931;0.318272407904024;0.8795546558704455;0.3033800494641385;0.4974818032354964
t3061;melodiesinfonie;tokyo;2018;jazz;0.0018148821612315;0.6241741579118381;violence;0.5384457605825193;0.6325297515358952;0.7874493927125507;0.2116652926628194;0.4824663192684295
t3062;jazzotron;let's go;2018;jazz;0.0004244482491426;0.920935773854652;obscene;0.7706586672820039;0.1475895056119534;0.0170040485829959;0.81760098928277;0.8528482571227448
t3063;pisk;it ain't right;2018;jazz;0.0004537205429172;0.8873605545326546;violence;0.7688639335435735;0.1726899324196108;0.0089574898785425;0.7300082440230832;0.951950451305386
t3064;novelists;eyes wide shut;2018;jazz;0.1067822792227371;0.3555724033358605;violence;0.8372945670845832;0.0076395659031786;0.0013967611336032;0.0983099752679307;0.9819814192395196
t3065;axian;chronos;2018;jazz;0.0009930486940362;0.6360879454131919;obscene;0.6358485244724763;0.5040155662806891;0.4929149797570851;0.179719703215169;0.3072856729859831
t3066;r+r=now;change of tone;2018;jazz;0.0011961722645524;0.397812195386115;world/life;0.7032535958772401;0.3042161688917358;0.5384615384615385;0.2508244023083265;0.4284105769869888
